full_name,a,e,i,w,om,ma,q,ad,epoch,per_y,data_arc,condition_code,H
"163000 (2001 SW169)",1.248319819887977,.05149771997786147,3.554133408746698,284.8266291499269,8.433632810861106,272.324190918814,1.184034195360571,1.312605444415382,2458600.5,1.39475202691526,7829,0,19.2
"225312 (1996 XB27)",1.188882993664954,.05789328371725624,2.464530210036531,58.18179933622402,179.4124167024594,291.6601010602586,1.120054653206088,1.25771133412382,2458600.5,1.29633388840262,8030,0,21.7
"416186 (2002 TD60)",1.202040449910475,.08256969779157279,7.412328872843599,343.7670832143343,62.6489174677911,178.5833850362186,1.102788333228121,1.301292566592829,2458600.5,1.31791325460864,6121,0,19.3
"495021 (2010 SH15)",1.271186091346721,.03308005742062865,4.05044752973931,96.69550827455409,.9218703711456867,261.4544951100118,1.229135182452666,1.313237000240775,2458600.5,1.43324983637793,2434,1,22.6
"       (2003 SM84)",1.125361187341484,.08194736930020113,2.795554717366854,87.37360784618225,186.6771806491323,97.68119106804461,1.033140798526298,1.217581576156669,2458600.5,1.19383993205189,4459,1,22.7
"       (2004 EO20)",1.219513258759309,.05523094155223452,4.541836480421688,84.15174754614428,179.8274433228124,354.3010857873811,1.152158393242598,1.286868124276019,2458600.5,1.34675312472011,5713,1,22.5
"       (2007 TF15)",1.108845749770639,.04478812935240784,4.253254278006285,28.85937633535494,193.1249014855852,110.3532798709986,1.059182622898043,1.158508876643234,2458600.5,1.16765597636473,2566,2,24.6
"       (2008 BT2)",1.173145705784291,.08065146974589225,3.074579323532249,201.8295306666622,333.6222694759216,261.8527585914764,1.078529780386706,1.267761631181876,2458600.5,1.2706798267169,51,5,24.3
"       (2009 OS5)",1.144264041727381,.09677830801278517,1.695244939404055,120.8520483577765,145.3601750881647,21.89349301164324,1.033524103849134,1.255003979605628,2458600.5,1.22404554633711,1976,1,24.5
"       (2011 AA37)",1.095859465657055,.01678920060988707,3.817247697524332,131.5060154289436,275.7098968376217,145.6970136258962,1.077460861247895,1.114258070066215,2458600.5,1.14720358942795,2919,0,22.8
"       (2012 GA5)",1.141748332379377,.06594212705037494,7.299524065662009,108.6903917502138,192.4827598027599,183.6339824784136,1.066459018786063,1.217037645972692,2458600.5,1.22001109767437,6129,0,24.2
"       (2013 PA7)",1.153947914460591,.08773048857484442,3.471961315318031,93.27797350486804,341.3364050639863,111.3009034365818,1.052711500135041,1.255184328786142,2458600.5,1.23961696764321,1984,0,22.6
"       (2013 VM13)",1.202364318397464,.0366638156161899,3.216878009211376,70.34931705076545,42.91190354292131,350.4632110471001,1.158281054724253,1.246447582070674,2458600.5,1.3184459230238,1532,1,23.9
"       (2013 WA44)",1.100459701828043,.06047509775114756,2.302204408794018,176.7310506584084,56.51290815237222,84.13196889749089,1.033909293788793,1.167010109867292,2458600.5,1.15443482048151,92,3,23.7
"       (2015 DD155)",1.290576265811591,.05235620099096381,5.671301646066616,25.97829387823388,14.5118435801717,54.43875409177663,1.223006595444592,1.35814593617859,2458600.5,1.46616792145641,1153,2,21.9
"       (2015 JD3)",1.058484470837109,.007854458134977538,2.718573455539885,60.04307929577921,43.64542183297925,356.1339604442811,1.050170648874395,1.066798292799823,2458600.5,1.08901770000403,76,4,25.5
"       (2015 MC54)",1.11697368769844,.06778988531521896,3.018678906970365,.3775493637087685,254.5404397913552,105.8062167862086,1.041254169509245,1.192693205887634,2458600.5,1.18051800777437,38,5,26.8
"       (2016 CA193)",1.127556151355365,.03736688731460532,7.805154583756075,219.194714163103,324.1890083270425,204.6281244790514,1.085422887706779,1.169689415003951,2458600.5,1.19733442750285,40,5,24.8
"       (2016 ST2)",1.137839724007653,.0701616732715222,3.427067162699977,214.3050330818932,74.25663376042921,112.9032694269343,1.058006985056469,1.217672462958837,2458600.5,1.21375166814143,59,5,24.8
"       (2017 RL2)",1.106075582954928,.04660577902693961,2.907189319442038,348.928265012502,350.944292760484,148.9323924249037,1.054526068748637,1.157625097161219,2458600.5,1.16328307672009,31,5,26.1
"       (2017 TP4)",1.078865709337894,.03823321492916986,1.558228195846777,137.6613144316504,281.2398390475203,96.13519422443372,1.037617204793067,1.120114213882721,2458600.5,1.12062236783508,47,5,26.3
"       (2017 XN61)",1.239033806358891,.07951695087345162,5.432521885775915,88.10556642733516,90.19001961146002,268.7977409457453,1.140509616048105,1.337557996669677,2458600.5,1.37921806307306,5351,0,22.4
"       (2018 LQ2)",1.091104381925441,.05755101431753701,2.125695376909207,142.8360492383231,178.3197910978677,221.0818793887951,1.028310218019323,1.15389854583156,2458600.5,1.13974488583691,164,3,24.8
"       (2018 MQ5)",1.076635373670161,.0226312091301975,6.327650813471734,70.43835278739191,264.8394441701621,213.8140139418031,1.052269813371664,1.101000933968659,2458600.5,1.11714917579899,154,3,24.1
"       (2018 VN5)",1.10412036209838,.05810355241413291,3.564465859031896,149.1332206580878,235.5613189070689,163.860196719427,1.039967046767686,1.168273677429075,2458600.5,1.16019991958438,90,3,25.4
"       (2019 AP8)",1.1445539506433,.0361230353279751,2.397684294556051,175.3614385317636,106.368550720006,276.1826676078958,1.103209187849439,1.185898713437162,2458600.5,1.22451075914676,4014,2,24.506
"       (2019 FV2)",1.052290968037707,.0233872463278735,3.75418830430707,245.7741146403232,12.32360534194639,320.5260417563767,1.027680779959613,1.076901156115802,2458600.5,1.07947345318364,202,3,24.956
"       (2019 LA6)",1.219086467056905,.07294874198787273,3.440657952264254,92.15802332783852,266.3199015547172,232.3466343525502,1.130155642910663,1.308017291203146,2458600.5,1.34604620403347,32,5,23.256
